vod,rr5,rr4,rr3,rr2,rr1,br5,br4,br3,br2,br1,rp5,bp4,bp5,rp4,bb5,rb5,bb4,rb4,rp3,bp2,bp3,rp1,rp2,bp1,rb3,bb3,rb2,bb2,rb1,bb1,patch,winner,score,red,blue,phase,region
https://youtu.be/rSc_J7cw_I4?t=6119,top,support,mid,bot,jungle,jungle,support,mid,bot,top,ornn,nautilus,sejuani,renata glasc,gwen,skarner,lulu,trundle,ahri,nilah,azir,wukong,zeri,renekton,aphelios,kalista,sivir,yuumi,vi,poppy,12.14,2,0 - 2,Gen.G,Liiv SANDBOX,Semifinals,KR
https://youtu.be/rSc_J7cw_I4?t=2937,top,support,mid,jungle,bot,jungle,top,mid,bot,support,sejuani,aatrox,trundle,amumu,ornn,skarner,lulu,xin zhao,sylas,zeri,azir,sivir,wukong,yuumi,renekton,aphelios,kalista,nautilus,poppy,vi,12.14,1,1 - 0,Liiv SANDBOX,Gen.G,Semifinals,KR
https://youtu.be/kz2XfDWp9TY?t=20825,top,mid,jungle,support,bot,top,mid,bot,jungle,support,gragas,corki,camille,taliyah,sejuani,yone,ornn,gwen,trundle,wukong,aphelios,zeri,yuumi,renata glasc,lucian,ahri,kalista,renekton,sivir,sylas,12.14,1,3 - 2,KT Rolster,DWG KIA,Quarterfinals,KR
https://youtu.be/kz2XfDWp9TY?t=16752,top,jungle,support,mid,bot,top,jungle,support,bot,mid,ornn,vi,gwen,wukong,akali,poppy,skarner,trundle,lulu,nilah,yuumi,aphelios,sylas,ahri,zeri,lucian,kalista,renekton,sivir,renata glasc,12.14,2,2 - 2,KT Rolster,DWG KIA,Quarterfinals,KR
https://youtu.be/kz2XfDWp9TY?t=13526,jungle,top,mid,support,bot,top,mid,support,jungle,bot,viego,sylas,swain,ornn,sejuani,gwen,vi,azir,taliyah,wukong,nami,aphelios,lulu,lucian,kalista,draven,ahri,yuumi,renekton,poppy,12.14,1,1 - 2,DWG KIA,KT Rolster,Quarterfinals,KR
https://youtu.be/kz2XfDWp9TY?t=6898,top,mid,support,jungle,bot,support,top,mid,jungle,bot,yone,ornn,tahmkench,taliyah,leblanc,gragas,gwen,rakan,braum,trundle,azir,draven,poppy,kalista,renata glasc,lucian,renekton,yuumi,ahri,wukong,12.14,2,0 - 2,DWG KIA,KT Rolster,Quarterfinals,KR
https://youtu.be/kz2XfDWp9TY?t=2949,top,jungle,support,mid,bot,mid,jungle,support,bot,top,sejuani,wukong,leblanc,viego,skarner,taliyah,ornn,trundle,lulu,lucian,nami,zeri,azir,renekton,yuumi,ahri,sivir,gwen,kalista,renata glasc,12.14,1,1 - 0,KT Rolster,DWG KIA,Quarterfinals,KR
https://youtu.be/xniPD7ipr5g?t=12960,jungle,mid,top,support,bot,support,bot,top,jungle,mid,morgana,aphelios,tahmkench,lissandra,leblanc,nautilus,trundle,lulu,renekton,poppy,ornn,lucian,nami,ahri,renata glasc,kalista,yuumi,azir,sivir,sylas,12.14,1,3 - 1,DRX,Liiv SANDBOX,Quarterfinals,KR
https://youtu.be/xniPD7ipr5g?t=9526,support,jungle,bot,top,mid,support,bot,top,jungle,mid,lulu,nilah,nautilus,skarner,wukong,lucian,trundle,aphelios,zeri,poppy,jax,ahri,gwen,azir,ornn,vi,sivir,yuumi,kalista,renata glasc,12.14,1,1 - 2,Liiv SANDBOX,DRX,Quarterfinals,KR
https://youtu.be/xniPD7ipr5g?t=6204,support,bot,jungle,mid,top,support,mid,bot,top,jungle,tahm kench,swain,leona,aphelios,nilah,lissandra,lucian,leblanc,vi,gwen,zeri,ornn,ahri,poppy,sivir,azir,sylas,yuumi,kalista,renata glasc,12.14,2,0 - 2,Liiv SANDBOX,DRX,Quarterfinals,KR
